uid,floor,chamber,half,ch1,ch2,ch3,ch4,start_at
1ea0a58ed62d11ee9f2828c2dd2980ba,12,12-3,12-3-2,Raiden Shogun,Kujou Sara,Chevreuse,Thoma,2024-02-18 01:29:15+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,11,11-1,11-1-1,Kaeya,Xingqiu,Kaedehara Kazuha,,2024-02-16 05:41:43+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,11,11-1,11-1-2,Shikanoin Heizou,Tighnari,Kuki Shinobu,Fischl,2024-02-16 05:42:35+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,11,11-2,11-2-1,Kaeya,Xingqiu,Kaedehara Kazuha,,2024-02-16 05:45:35+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,11,11-2,11-2-2,Shikanoin Heizou,Tighnari,Kuki Shinobu,Fischl,2024-02-16 05:46:56+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,11,11-3,11-3-1,Kaeya,Xingqiu,Kaedehara Kazuha,,2024-02-16 05:51:12+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,11,11-3,11-3-2,Shikanoin Heizou,Tighnari,Kuki Shinobu,Fischl,2024-02-16 05:52:06+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,12,12-1,12-1-1,Noelle,Albedo,Gorou,Furina,2024-02-16 05:54:52+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,12,12-1,12-1-2,Alhaitham,Fischl,Kuki Shinobu,Nahida,2024-02-16 05:55:55+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,12,12-2,12-2-1,Noelle,Albedo,Gorou,Furina,2024-02-16 05:59:01+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,12,12-2,12-2-2,Alhaitham,Fischl,Kuki Shinobu,Nahida,2024-02-16 06:00:09+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,12,12-3,12-3-1,Noelle,Albedo,Gorou,Furina,2024-02-16 06:01:52+00:00
1ea0a58fd62d11eeae5728c2dd2980ba,12,12-3,12-3-2,Alhaitham,Fischl,Kuki Shinobu,Nahida,2024-02-16 06:02:50+00:00
1ea0a590d62d11ee97f228c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-17 06:58:13+00:00
1ea0a590d62d11ee97f228c2dd2980ba,11,11-1,11-1-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-17 06:59:02+00:00
1ea0a590d62d11ee97f228c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-17 06:59:32+00:00
1ea0a590d62d11ee97f228c2dd2980ba,11,11-2,11-2-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-17 07:00:33+00:00
1ea0a590d62d11ee97f228c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-17 07:01:19+00:00
1ea0a590d62d11ee97f228c2dd2980ba,11,11-3,11-3-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-17 07:01:46+00:00
1ea0a590d62d11ee97f228c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-17 07:03:41+00:00
1ea0a590d62d11ee97f228c2dd2980ba,12,12-1,12-1-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-17 07:06:45+00:00
1ea0a590d62d11ee97f228c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-17 07:14:44+00:00
1ea0a590d62d11ee97f228c2dd2980ba,12,12-2,12-2-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-17 07:15:43+00:00
1ea0a590d62d11ee97f228c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-17 07:17:47+00:00
1ea0a590d62d11ee97f228c2dd2980ba,12,12-3,12-3-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-17 07:33:32+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,11,11-1,11-1-1,Sucrose,Fischl,Beidou,Yaoyao,2024-02-23 23:32:43+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,11,11-1,11-1-2,Shikanoin Heizou,Furina,Xianyun,Faruzan,2024-02-23 23:33:28+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,11,11-2,11-2-1,Sucrose,Fischl,Beidou,Yaoyao,2024-02-23 23:34:09+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,11,11-2,11-2-2,Shikanoin Heizou,Furina,Xianyun,Faruzan,2024-02-23 23:35:34+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,11,11-3,11-3-1,Sucrose,Fischl,Beidou,Yaoyao,2024-02-23 23:36:25+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,11,11-3,11-3-2,Shikanoin Heizou,Furina,Xianyun,Faruzan,2024-02-23 23:37:07+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,12,12-1,12-1-1,Xingqiu,Xiangling,Sucrose,Bennett,2024-02-23 23:39:13+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,12,12-1,12-1-2,Neuvillette,Kuki Shinobu,Zhongli,Nahida,2024-02-23 23:40:39+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,12,12-2,12-2-1,Xingqiu,Xiangling,Sucrose,Bennett,2024-02-23 23:45:16+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,12,12-2,12-2-2,Neuvillette,Kuki Shinobu,Zhongli,Nahida,2024-02-23 23:46:02+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,12,12-3,12-3-1,Xingqiu,Xiangling,Sucrose,Bennett,2024-02-23 23:47:53+00:00
1ea0a591d62d11eeb6ea28c2dd2980ba,12,12-3,12-3-2,Neuvillette,Kuki Shinobu,Zhongli,Nahida,2024-02-23 23:48:57+00:00
1ea0a592d62d11eea79028c2dd2980ba,11,11-1,11-1-1,Neuvillette,Zhongli,Baizhu,Furina,2024-02-18 02:46:08+00:00
1ea0a592d62d11eea79028c2dd2980ba,11,11-1,11-1-2,Wanderer,Kaedehara Kazuha,Faruzan,Xianyun,2024-02-18 02:46:51+00:00
1ea0a592d62d11eea79028c2dd2980ba,11,11-2,11-2-1,Neuvillette,Zhongli,Baizhu,Furina,2024-02-18 02:47:23+00:00
1ea0a592d62d11eea79028c2dd2980ba,11,11-2,11-2-2,Wanderer,Kaedehara Kazuha,Faruzan,Xianyun,2024-02-18 02:48:15+00:00
1ea0a592d62d11eea79028c2dd2980ba,11,11-3,11-3-1,Neuvillette,Zhongli,Baizhu,Furina,2024-02-18 02:48:57+00:00
1ea0a592d62d11eea79028c2dd2980ba,11,11-3,11-3-2,Wanderer,Kaedehara Kazuha,Faruzan,Xianyun,2024-02-18 02:49:35+00:00
1ea0a592d62d11eea79028c2dd2980ba,12,12-1,12-1-1,Neuvillette,Kaedehara Kazuha,Furina,Charlotte,2024-02-18 02:53:53+00:00
1ea0a592d62d11eea79028c2dd2980ba,12,12-1,12-1-2,Yae Miko,Nahida,Baizhu,Yelan,2024-02-18 02:59:00+00:00
1ea0a592d62d11eea79028c2dd2980ba,12,12-2,12-2-1,Neuvillette,Kaedehara Kazuha,Furina,Charlotte,2024-02-18 03:00:53+00:00
1ea0a592d62d11eea79028c2dd2980ba,12,12-2,12-2-2,Yae Miko,Nahida,Baizhu,Yelan,2024-02-18 03:01:59+00:00
1ea0a592d62d11eea79028c2dd2980ba,12,12-3,12-3-1,Neuvillette,Kaedehara Kazuha,Furina,Charlotte,2024-02-18 03:05:31+00:00
1ea0a592d62d11eea79028c2dd2980ba,12,12-3,12-3-2,Yae Miko,Nahida,Baizhu,Yelan,2024-02-18 03:06:21+00:00
1ea0a593d62d11ee94c028c2dd2980ba,11,11-1,11-1-1,Furina,Neuvillette,Kaedehara Kazuha,Baizhu,2024-02-16 19:49:15+00:00
1ea0a593d62d11ee94c028c2dd2980ba,11,11-1,11-1-2,Sucrose,Fischl,Beidou,Xingqiu,2024-02-16 19:49:56+00:00
1ea0a593d62d11ee94c028c2dd2980ba,11,11-2,11-2-1,Furina,Neuvillette,Kaedehara Kazuha,Baizhu,2024-02-16 19:50:24+00:00
1ea0a593d62d11ee94c028c2dd2980ba,11,11-2,11-2-2,Sucrose,Fischl,Beidou,Xingqiu,2024-02-16 19:51:18+00:00
1ea0a593d62d11ee94c028c2dd2980ba,11,11-3,11-3-1,Furina,Neuvillette,Kaedehara Kazuha,Baizhu,2024-02-16 19:52:03+00:00
1ea0a593d62d11ee94c028c2dd2980ba,11,11-3,11-3-2,Sucrose,Fischl,Beidou,Xingqiu,2024-02-16 19:52:38+00:00
1ea0a593d62d11ee94c028c2dd2980ba,12,12-1,12-1-1,Tartaglia,Xiangling,Kaedehara Kazuha,Bennett,2024-02-16 20:00:05+00:00
